Method,Year,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,Author21,Author22,Author23,Author24,Author25,Author26,Author27,Author28,Author29,Author30,Author31,Author32,Author33,Author34,Author35
SCCS,2006,Juurlink DN,Stukel TA,Kwong J,Kopp A,McGee A,Upshur RE,Manuel DG,Moineddin R,Wilson K,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2006,Stowe J,Andrews N,Wise L,Miller E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2007,Andrews N,Stowe J,Miller E,Taylor B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2007,Miller E,Andrews N,Stowe J,Grant A,Waight P,Taylor B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2007,Taylor B,Andrews N,Stowe J,Hamidi-Manesh L,Miller E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2007,Ward KN,Bryant NJ,Andrews N,Bowley JS,Ohrling A,Verity CM,Ross EM,Miller E,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2008,Douglas I,Smeeth L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2008,Grosso A,Douglas I,Hingorani A,MacAllister R,Smeeth L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2008,Stowe J,Kafatos G,Andrews N,Miller E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2009,Douglas I,Evans SJ,Pocock S,Smeeth L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2009,Grosso A,Douglas I,Hingorani A,MacAllister R,Smeeth L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2009,Grosso A,Douglas I,Hingorani A,MacAllister R,Hubbard R,Smeeth L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2009,Naleway AL,Belongia EA,Donahue JG,Kieke BA,Glanz JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2009,Stowe J,Andrews N,Taylor B,Miller E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2009,Stowe J,Andrews N,Wise L,Miller E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2009,Zinman L,Thoma J,Kwong J,Kopp A,Stukel TA,Juurlink DN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2010,Gold M,Dugdale S,Woodman RJ,McCaul KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2010,Huang Wan-Ting,Gargiullo PM,Broder KR,Weintraub ES,Iskander JK,Klein NP,Baggs JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
